Name	AccessionID	Date	Continent	Location	Region	Location_with_Region
MN908947.3	NC_045512	2019/12/01	Asia	China	Wuhan	China
hCoV-19/Africa/DemocraticRepublicoftheCongo/Bukavu/EPI_ISL_10011314/2021-05-23	EPI_ISL_10011314	2021/05/23	Africa	DemocraticRepublicoftheCongo	Bukavu	DemocraticRepublicoftheCongo
hCoV-19/Europe/France/Ile-de-France/SaintMande/EPI_ISL_1001390/2021-01-30	EPI_ISL_1001390	2021/01/30	Europe	France	Ile-de-France	France
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Martigues/EPI_ISL_1001459/2021-01-27	EPI_ISL_1001459	2021/01/27	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Martigues/EPI_ISL_1001463/2021-01-27	EPI_ISL_1001463	2021/01/27	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Luynes/EPI_ISL_1001573/2021-01-27	EPI_ISL_1001573	2021/01/27	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/Switzerland/Bern/EPI_ISL_1001863/2021-01-10	EPI_ISL_1001863	2021/01/10	Europe	Switzerland	Bern	Switzerland
hCoV-19/Europe/Switzerland/Zurich/EPI_ISL_1001864/2021-01-18	EPI_ISL_1001864	2021/01/18	Europe	Switzerland	Zurich	Switzerland
hCoV-19/Europe/Switzerland/Basel-Landschaft/EPI_ISL_1002349/2021-01-21	EPI_ISL_1002349	2021/01/21	Europe	Switzerland	Basel-Landschaft	Switzerland
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Martigues/EPI_ISL_1004174/2021-01-27	EPI_ISL_1004174	2021/01/27	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Oceania/Australia/NewSouthWales/Sydney/EPI_ISL_1005536/2021-01-11	EPI_ISL_1005536	2021/01/11	Oceania	Australia	NewSouthWales	Australia
hCoV-19/Oceania/Australia/NewSouthWales/Sydney/EPI_ISL_1005538/2021-01-14	EPI_ISL_1005538	2021/01/14	Oceania	Australia	NewSouthWales	Australia
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Martigues/EPI_ISL_1005682/2021-01-28	EPI_ISL_1005682	2021/01/28	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Provence/Martigues/EPI_ISL_1005683/2021-01-27	EPI_ISL_1005683	2021/01/27	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/France/Ile-de-France/Essonne/EPI_ISL_1005686/2021-01-27	EPI_ISL_1005686	2021/01/27	Europe	France	Ile-de-France	France
hCoV-19/Europe/France/Ile-de-France/EPI_ISL_1005688/2021-01-27	EPI_ISL_1005688	2021/01/27	Europe	France	Ile-de-France	France
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_1006475/2021-01-27	EPI_ISL_1006475	2021/01/27	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_10067401/2020-12-21	EPI_ISL_10067401	2020/12/21	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_10067403/2020-12-20	EPI_ISL_10067403	2020/12/20	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Europe/Norway/Nordland/EPI_ISL_10068021/2021-02-16	EPI_ISL_10068021	2021/02/16	Europe	Norway	Nordland	Norway
hCoV-19/Europe/Norway/Nordland/EPI_ISL_10068022/2021-02-18	EPI_ISL_10068022	2021/02/18	Europe	Norway	Nordland	Norway
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_1006970/2021-02-01	EPI_ISL_1006970	2021/02/01	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Africa/CotedIvoire/Dabou/EPI_ISL_10070654/2021-08-23	EPI_ISL_10070654	2021/08/23	Africa	CotedIvoire	Dabou	CotedIvoire
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_1007076/2021-02-01	EPI_ISL_1007076	2021/02/01	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/Norway/Viken/EPI_ISL_10071220/2021-02-17	EPI_ISL_10071220	2021/02/17	Europe	Norway	Viken	Norway
hCoV-19/Europe/Norway/Nordland/EPI_ISL_10071221/2021-02-21	EPI_ISL_10071221	2021/02/21	Europe	Norway	Nordland	Norway
hCoV-19/Europe/Norway/Nordland/EPI_ISL_10071222/2021-02-21	EPI_ISL_10071222	2021/02/21	Europe	Norway	Nordland	Norway
hCoV-19/Europe/Switzerland/Vaud/EPI_ISL_1007603/2021-01-14	EPI_ISL_1007603	2021/01/14	Europe	Switzerland	Vaud	Switzerland
hCoV-19/Europe/Switzerland/Vaud/EPI_ISL_1007636/2021-01-24	EPI_ISL_1007636	2021/01/24	Europe	Switzerland	Vaud	Switzerland
