,EventTime,Origin,Destination
1,2020.66377,SouthAfrica - WesternCape,Finland
2,2021.2068100000001,Finland,Estonia
3,2021.1629800000003,Finland,Latvia
4,2021.16846,Latvia,Estonia
5,2021.1352100000001,Finland,Estonia
6,2021.2999600000003,Estonia,Finland
7,2021.20134,Estonia,Finland
8,2020.83777,SouthAfrica - WesternCape,USA
9,2020.9193200000002,USA,SouthAfrica - Gauteng
10,2020.9468200000001,SouthAfrica - WesternCape,Belgium
11,2021.2287400000002,Belgium,UnitedKingdom
12,2020.6942900000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
13,2020.8151200000002,SouthAfrica - EasternCape,Sweden
14,2021.0670800000003,Sweden,Denmark
15,2021.0131800000001,Sweden,Finland
16,2021.2424300000002,Finland,Norway
17,2021.2835300000002,Sweden,Croatia
18,2021.0600700000002,Sweden,Finland
19,2021.1728500000002,Sweden,Estonia
20,2021.2890000000002,Sweden,Croatia
21,2021.23888,Sweden,Spain
22,2021.2290400000002,Sweden,Norway
23,2021.22872,Sweden,Germany
24,2021.24789,Sweden,Norway
25,2020.0828400000003,SouthAfrica - WesternCape,Zambia
26,2020.9903800000002,Zambia,Botswana
27,2021.0506400000002,Zambia,Israel
28,2021.0287200000002,Zambia,Netherlands
29,2020.9766800000002,Zambia,Zimbabwe
30,2021.0287200000002,Zambia,UnitedKingdom
31,2020.93297,Zambia,UnitedKingdom
32,2021.05886,Zambia,UnitedKingdom
33,2021.2040600000003,Zambia,Rwanda
34,2021.1368700000003,Zambia,USA
35,2021.3657100000003,Zambia,Belgium
36,2021.1328300000002,Zambia,Sweden
37,2021.2917400000001,Zambia,Tunisia
38,2021.2292700000003,Zambia,Canada
39,2021.3739300000002,Canada,France
40,2021.30544,Canada,SouthSudan
41,2021.4122900000002,Canada,SouthAfrica - WesternCape
42,2020.5649300000002,Zambia,Sweden
43,2020.8076200000003,Zambia,UnitedKingdom
44,2021.1328500000002,UnitedKingdom,France
45,2021.0287400000002,UnitedKingdom,UnitedArabEmirates
46,2021.03148,UnitedKingdom,India
47,2021.03148,India,UnitedArabEmirates
48,2021.1301100000003,India,UnitedKingdom
49,2021.3849000000002,India,SouthAfrica - WesternCape
50,2021.1219,India,UnitedKingdom
51,2020.9927000000002,UnitedKingdom,France
52,2021.0575000000001,France,Turkey
53,2021.2424400000002,France,Germany
54,2021.0120500000003,UnitedKingdom,France
55,2021.0753200000001,France,Greece
56,2021.0342400000002,France,UnitedKingdom
57,2021.0397200000002,UnitedKingdom,Greece
58,2021.0671200000002,UnitedKingdom,Denmark
59,2021.08904,Denmark,UnitedArabEmirates
60,2021.08904,UnitedArabEmirates,Greece
61,2021.13559,Zambia,Rwanda
62,2021.05887,Zambia,Turkey
63,2021.0013400000003,Zambia,Zimbabwe
64,2021.1876300000001,Zambia,UnitedKingdom
65,2020.9931100000001,Zambia,UnitedKingdom
66,2021.0219600000003,Zambia,Finland
67,2021.13559,Finland,Iraq
68,2021.0095500000002,Zambia,Denmark
69,2021.02599,Zambia,SouthKorea
70,2020.9849100000001,Zambia,USA
71,2021.0588800000003,Zambia,USA
72,2021.0917500000003,Zambia,UnitedKingdom
73,2021.05066,Zambia,UnitedKingdom
74,2021.07805,Zambia,NewZealand
75,2021.01789,Zambia,Kenya
76,2020.9374300000002,Zambia,Mayotte
77,2021.0917600000002,Mayotte,Australia
78,2021.0534000000002,Mayotte,Oman
79,2021.0780600000003,Mayotte,Rwanda
80,2021.13559,Mayotte,Rwanda
81,2021.2451800000001,Mayotte,Turkey
82,2021.0671000000002,Mayotte,Norway
83,2021.0616200000002,Mayotte,Reunion
84,2020.9762900000003,Mayotte,Turkey
85,2021.03697,Mayotte,Sweden
86,2020.9839800000002,Mayotte,UnitedKingdom
87,2021.01231,UnitedKingdom,Mayotte
88,2021.0999800000002,UnitedKingdom,Switzerland
