Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_10210476/2021-12-24	EPI_ISL_10210476	2021/12/24	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/NorthAmerica/USA/NewYork/WestchesterCounty/EPI_ISL_10270467/2021-12-21	EPI_ISL_10270467	2021/12/21	USA	NewYork	USA
hCoV-19/Asia/Jordan/Zarqa/EPI_ISL_10329372/2021-11-16	EPI_ISL_10329372	2021/11/16	Jordan	Zarqa	Jordan
hCoV-19/Asia/Jordan/Amman/EPI_ISL_10329373/2021-11-18	EPI_ISL_10329373	2021/11/18	Jordan	Amman	Jordan
hCoV-19/Asia/Jordan/Amman/EPI_ISL_10329378/2021-12-18	EPI_ISL_10329378	2021/12/18	Jordan	Amman	Jordan
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Northern/EPI_ISL_10445625/2021-06-23	EPI_ISL_10445625	2021/06/23	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Eastern/EPI_ISL_10445631/2021-06-28	EPI_ISL_10445631	2021/06/28	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Khayelitsha/EPI_ISL_10445650/2021-06-21	EPI_ISL_10445650	2021/06/21	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Tygerberg/EPI_ISL_10445652/2021-06-21	EPI_ISL_10445652	2021/06/21	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Eastern/EPI_ISL_10445654/2021-06-21	EPI_ISL_10445654	2021/06/21	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/Eastern/EPI_ISL_10445665/2021-06-26	EPI_ISL_10445665	2021/06/26	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/NorthAmerica/USA/Oregon/EPI_ISL_10494641/2021-09-02	EPI_ISL_10494641	2021/09/02	USA	Oregon	USA
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_10514836/2021-06-28	EPI_ISL_10514836	2021/06/28	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_10514838/2021-06-21	EPI_ISL_10514838	2021/06/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_10514840/2021-07-01	EPI_ISL_10514840	2021/07/01	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_10514842/2021-06-22	EPI_ISL_10514842	2021/06/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
