,EventTime,Origin,Destination
1,2021.8739699999999,SouthAfrica - Gauteng,France
2,2021.8480399999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
3,2021.59475,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
4,2021.77808,SouthAfrica - NorthernCape,SouthAfrica - WesternCape
5,2021.5452,SouthAfrica - Gauteng,SouthAfrica - nan
6,2021.60274,SouthAfrica - Gauteng,SouthAfrica - nan
7,2021.5452,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
8,2021.72055,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
9,2021.70685,SouthAfrica - Gauteng,Eswatini
10,2021.58356,SouthAfrica - Gauteng,Eswatini
11,2021.70137,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
12,2021.55342,SouthAfrica - Gauteng,SouthAfrica - NorthWest
13,2021.72054,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
14,2021.66301,SouthAfrica - Gauteng,SouthAfrica - Limpopo
15,2021.55494,SouthAfrica - Gauteng,SouthAfrica - NorthWest
16,2021.6356,SouthAfrica - Gauteng,UnitedKingdom
17,2021.59177,SouthAfrica - Gauteng,SouthAfrica - Limpopo
18,2021.56438,SouthAfrica - Gauteng,SouthAfrica - WesternCape
19,2021.58457,SouthAfrica - Gauteng,SouthAfrica - NorthWest
20,2021.73971,SouthAfrica - NorthWest,SouthAfrica - Mpumalanga
21,2021.7260099999999,SouthAfrica - NorthWest,SouthAfrica - Mpumalanga
22,2021.73972,SouthAfrica - Gauteng,Eswatini
23,2021.61369,SouthAfrica - Gauteng,SouthAfrica - EasternCape
24,2021.76438,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
25,2021.64383,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
26,2021.73973,SouthAfrica - Mpumalanga,SouthAfrica - Gauteng
27,2021.86027,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
28,2021.73425,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
29,2021.68493,SouthAfrica - Gauteng,UnitedKingdom
30,2021.73698,SouthAfrica - Gauteng,SouthAfrica - NorthWest
31,2021.69041,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
32,2021.56438,SouthAfrica - Gauteng,SouthAfrica - EasternCape
33,2021.58049,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
34,2021.61644,SouthAfrica - NorthernCape,SouthAfrica - Gauteng
35,2021.78405,SouthAfrica - Gauteng,SouthAfrica - NorthWest
36,2021.8767,SouthAfrica - NorthWest,SouthAfrica - NorthernCape
37,2021.72054,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
38,2021.71432,SouthAfrica - Gauteng,SouthAfrica - NorthWest
39,2021.77807,SouthAfrica - NorthWest,SouthAfrica - NorthernCape
40,2021.5452,SouthAfrica - Gauteng,SouthAfrica - Limpopo
41,2021.64352,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
42,2021.5545299999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
43,2021.6082099999999,SouthAfrica - KwaZulu-Natal,SouthAfrica - Limpopo
44,2021.75337,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
45,2021.59725,SouthAfrica - Gauteng,Eswatini
46,2021.63013,SouthAfrica - Gauteng,SouthAfrica - Limpopo
47,2021.73972,SouthAfrica - Gauteng,SouthAfrica - Limpopo
48,2021.74246,SouthAfrica - Gauteng,SouthAfrica - WesternCape
49,2021.83835,SouthAfrica - Gauteng,Greece
50,2021.7726,SouthAfrica - Gauteng,SouthAfrica - Limpopo
51,2021.73151,SouthAfrica - Gauteng,SouthAfrica - FreeState
52,2021.7178,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
53,2021.61096,SouthAfrica - Gauteng,SouthAfrica - EasternCape
54,2021.73698,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
55,2021.63287,SouthAfrica - Gauteng,Eswatini
56,2021.4427799999999,SouthAfrica - Gauteng,SouthAfrica - Limpopo
57,2021.83287,SouthAfrica - Gauteng,SouthAfrica - FreeState
58,2021.89863,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
59,2021.70685,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
60,2021.57824,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
61,2021.63563,SouthAfrica - Gauteng,Belgium
62,2021.69042,SouthAfrica - Gauteng,SouthAfrica - NorthWest
63,2021.6685,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
64,2021.55891,SouthAfrica - Gauteng,SouthAfrica - nan
65,2021.62466,SouthAfrica - Gauteng,SouthAfrica - NorthWest
66,2021.74521,SouthAfrica - Gauteng,SouthAfrica - NorthWest
67,2021.76713,SouthAfrica - Gauteng,USA
68,2021.60548,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
69,2021.86301,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
70,2021.70959,SouthAfrica - Gauteng,SouthAfrica - NorthWest
71,2021.7178099999999,SouthAfrica - Gauteng,SouthAfrica - WesternCape
72,2021.56988,SouthAfrica - Gauteng,SouthAfrica - WesternCape
73,2021.56988,SouthAfrica - Gauteng,SouthAfrica - WesternCape
74,2021.7561799999999,SouthAfrica - WesternCape,SouthAfrica - NorthWest
75,2021.76988,SouthAfrica - WesternCape,SouthAfrica - Gauteng
76,2021.57713,SouthAfrica - Gauteng,SouthAfrica - WesternCape
77,2021.60549,SouthAfrica - WesternCape,SouthAfrica - EasternCape
78,2021.67946,SouthAfrica - EasternCape,SouthAfrica - NorthWest
79,2021.64111,SouthAfrica - EasternCape,Eswatini
80,2021.60823,SouthAfrica - WesternCape,SouthAfrica - EasternCape
